pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,baseline_large_tps,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_1,2,50,0.9,1.0,64,7.968694,,3.837055,0.481516,24,65,41,5,19,48,0.854167,0.791667,0.208333,1.708333,2.708333,571.436942,131.925287,13714.4866,3166.2069
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_1,4,20,0.0,1.0,64,7.34858,,3.332487,0.453487,14,66,52,3,11,56,0.928571,0.785714,0.214286,3.714286,4.714286,1264.656179,146.126343,17705.1865,2045.7688
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_1,4,20,0.9,1.0,64,7.279118,,3.629737,0.498651,13,65,52,0,13,52,1.0,1.0,0.0,4,5,1228.734877,144.792154,15973.5534,1882.298
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_1,4,50,0.0,1.0,64,7.516159,,3.381973,0.44996,14,67,53,2,12,56,0.946429,0.857143,0.142857,3.785714,4.785714,1263.304829,147.503036,17686.2676,2065.0425
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,code_completion,code_completion_1,4,50,0.9,1.0,64,7.393386,,3.143128,0.425127,15,67,52,2,13,60,0.866667,0.866667,0.133333,3.466667,4.466667,1268.88554,148.450967,19033.2831,2226.7645
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,long_summarization,long_summarization_0,2,20,0.0,1.0,64,7.27219,,3.67187,0.504919,23,66,43,3,20,46,0.934783,0.869565,0.130435,1.869565,2.869565,628.774339,149.909822,14461.8098,3447.9259
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,long_summarization,long_summarization_0,2,20,0.9,1.0,64,7.093185,,3.428426,0.483341,25,64,39,7,18,50,0.78,0.72,0.28,1.56,2.56,599.398796,144.829708,14984.9699,3620.7427
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,long_summarization,long_summarization_0,2,50,0.0,1.0,64,7.723034,,3.570449,0.462312,25,66,41,6,19,50,0.82,0.76,0.24,1.64,2.64,596.31936,140.5401,14907.984,3513.5025
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,long_summarization,long_summarization_0,2,50,0.9,1.0,64,7.168075,,3.719714,0.518928,23,64,41,3,20,46,0.891304,0.869565,0.130435,1.782609,2.782609,601.581874,143.794709,13836.3831,3307.2783
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,long_summarization,long_summarization_0,4,20,0.0,1.0,64,7.597834,,3.258618,0.428888,15,65,50,3,12,60,0.833333,0.8,0.2,3.333333,4.333333,1183.473873,142.696727,17752.1081,2140.4509
